id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-12-16T07:40:43;Loop;CANCELLED;PAYPAL;2021-12-16T02:01:08;22604
2;calculating;2021-12-16T08:09:06;haptic 1080p;ISSUED;PAYPAL;2021-12-15T19:22:46;10489
3;national Frozen Berkshire;2021-12-16T08:23:56;Account Borders Home;PAID;CREDIT_CARD;2021-12-15T23:06:47;36325
4;monitor;2021-12-15T18:26:32;parse intuitive Division;CANCELLED;PAYPAL;2021-12-15T20:01:33;13687
5;synergy transmitting;2021-12-15T18:28:47;parse Gloves;ISSUED;PAYPAL;2021-12-16T03:05:25;92472
6;function;2021-12-15T23:22:15;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-12-16T10:29:16;26944
7;Maine;2021-12-16T09:48:38;RAM;ISSUED;PAYPAL;2021-12-16T14:50:30;32458
8;Analyst Agent;2021-12-16T13:43:20;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-12-16T10:45:02;79389
9;Salad;2021-12-15T19:52:02;Gorgeous;ISSUED;CREDIT_CARD;2021-12-16T04:38:26;62169
10;Pants Wooden Intuitive;2021-12-16T05:15:59;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-12-16T01:10:36;58737
